key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
161,False,BTN,1,1,RetainerTaskParameter#1,1,60,500,0,0,0,0,0,Latex
162,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Fire Shard
163,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Ice Shard
164,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Wind Shard
165,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Earth Shard
166,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Lightning Shard
167,False,BTN,1,1,RetainerTaskParameter#0,1,60,500,0,0,0,0,0,Water Shard
168,False,BTN,2,2,RetainerTaskParameter#2,1,60,800,0,0,0,0,0,Allagan Snail
169,False,BTN,2,2,RetainerTaskParameter#2,1,60,800,0,0,0,0,0,Maple Sap
170,False,BTN,3,3,RetainerTaskParameter#3,1,60,800,0,0,0,0,0,Maple Log
171,False,BTN,4,4,RetainerTaskParameter#4,1,60,1400,0,0,0,0,0,Cinnamon
172,False,BTN,5,5,RetainerTaskParameter#5,1,60,1400,0,0,0,0,0,Beehive Chip
173,False,BTN,5,5,RetainerTaskParameter#5,1,60,1400,0,0,0,0,0,Maple Branch
174,False,BTN,6,6,RetainerTaskParameter#6,1,60,3000,0,0,0,0,0,Tinolqa Mistletoe
175,False,BTN,6,6,RetainerTaskParameter#6,1,60,3000,0,0,0,0,0,Cock Feather
176,False,BTN,7,7,RetainerTaskParameter#7,1,60,3000,0,0,0,0,0,La Noscean Orange
177,False,BTN,7,7,RetainerTaskParameter#7,1,60,3000,0,0,0,0,0,La Noscean Orange Seeds
178,False,BTN,8,8,RetainerTaskParameter#8,1,60,5000,0,0,0,0,0,Ash Log
179,False,BTN,9,9,RetainerTaskParameter#9,1,60,5000,0,0,0,0,0,Ash Branch
180,False,BTN,9,9,RetainerTaskParameter#9,1,60,5000,0,0,0,0,0,Kukuru Bean
181,False,BTN,10,10,RetainerTaskParameter#10,1,60,7400,0,72,0,30,0,Crow Feather
182,False,BTN,10,10,RetainerTaskParameter#10,1,60,7400,0,72,0,30,0,Cloves
183,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Moko Grass
184,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Yellow Ginseng
185,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Chanterelle
186,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Lowland Grapes
187,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Rye
188,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Sunset Wheat
189,False,BTN,11,11,RetainerTaskParameter#11,1,60,7400,0,72,0,40,0,Garlean Garlic
190,False,BTN,12,12,RetainerTaskParameter#12,1,60,10200,0,72,0,41,0,Elm Log
191,False,BTN,12,12,RetainerTaskParameter#12,1,60,10200,0,72,0,41,0,Wild Onion
